engine,clip,audio_s,proc_s,rtf,wer,cer,reference,hypothesis
groq,common_voice_pt_19276316.mp3,2.62,3.93,1.501,0.0000,0.0000,não é o dinheiro,não é o dinheiro
groq,common_voice_pt_19276295.mp3,2.98,3.95,1.327,0.0000,0.0000,tudo estava sincronizado,tudo estava sincronizado
groq,common_voice_pt_27023330.mp3,3.82,4.00,1.047,0.0000,0.0000,bebeu do próprio veneno,bebeu do próprio veneno
groq,common_voice_pt_27023601.mp3,5.08,4.09,0.806,0.0000,0.0000,mas a largura de banda lenta pode causar problemas,mas a largura de banda lenta pode causar problemas
groq,common_voice_pt_27023336.mp3,5.51,5.93,1.076,0.0000,0.0000,esta é a minha sentença que se pronuncia firme e firmemente,esta é a minha sentença que se pronuncia firme e firmemente
groq,common_voice_pt_27023597.mp3,3.13,3.92,1.251,0.0000,0.0000,o vinho faz você dormir,o vinho faz você dormir
groq,common_voice_pt_27023595.mp3,5.15,4.22,0.820,0.0769,0.0357,qual é a distância da terra até a lua e desta até plutão,qual a distância da terra até a lua e desta até plutão
groq,common_voice_pt_27023546.mp3,4.28,4.06,0.949,0.0000,0.0000,o governo proibiu a exportação de crustáceos,o governo proibiu a exportação de crustáceos
groq,common_voice_pt_27023543.mp3,6.01,4.14,0.688,0.0000,0.0000,a inovação é a oportunidade para taiwan sobreviver no futuro,a inovação é a oportunidade para taiwan sobreviver no futuro
groq,common_voice_pt_27023540.mp3,6.30,4.21,0.669,0.0000,0.0000,sua população é basicamente dedicada ao turismo ecológico e à pesca,sua população é basicamente dedicada ao turismo ecológico e à pesca
groq,common_voice_pt_27023332.mp3,4.72,4.32,0.916,0.0000,0.0000,atividades que envolvem o processo de aprendizagem,atividades que envolvem o processo de aprendizagem
groq,common_voice_pt_27023535.mp3,5.80,4.04,0.698,0.0000,0.0000,quem sabe se depois de tantos terrores a criança nasceria morta,quem sabe se depois de tantos terrores a criança nasceria morta
groq,common_voice_pt_27023334.mp3,4.90,4.57,0.933,0.0000,0.0000,isso influencia poderosamente o nível de salários,isso influencia poderosamente o nível de salários
groq,common_voice_pt_27685086.mp3,5.51,4.78,0.868,0.0000,0.0000,se isso não for possível as chamadas necessárias serão feitas,se isso não for possível as chamadas necessárias serão feitas
groq,common_voice_pt_27685090.mp3,3.71,3.97,1.072,0.0000,0.0000,a vacina chegará aos jovens europeus,a vacina chegará aos jovens europeus
groq,common_voice_pt_27685068.mp3,7.78,4.21,0.541,0.0000,0.0000,oceanos pacífico atlântico índico antártico e glacial ártico,oceanos pacífico atlântico índico antártico e glacial ártico
groq,common_voice_pt_27685101.mp3,2.74,4.01,1.466,0.0000,0.0000,você vai fazer isso,você vai fazer isso
groq,common_voice_pt_27685099.mp3,5.94,4.30,0.724,0.2222,0.0169,angola guiné bissau cabo verde e moçambique falam português,angola guinébissau cabo verde e moçambique falam português
groq,common_voice_pt_27685098.mp3,8.46,4.50,0.532,0.0000,0.0000,em relação aos resultados estes são produzidos principalmente por extrações de bombeamento para consumo,em relação aos resultados estes são produzidos principalmente por extrações de bombeamento para consumo
groq,common_voice_pt_27685069.mp3,3.96,3.99,1.008,0.0000,0.0000,toda forma de amor é válida,toda forma de amor é válida
groq,common_voice_pt_25183518.mp3,3.46,4.61,1.334,0.0000,0.0000,a cristiane não saiu do facebook,a cristiane não saiu do facebook
groq,common_voice_pt_25183528.mp3,3.67,3.40,0.925,0.2500,0.0333,artur antunis oliveira freitas,artur antunes oliveira freitas
groq,common_voice_pt_25183535.mp3,2.88,3.95,1.370,0.0000,0.0000,celso lopes de freitas,celso lopes de freitas
groq,common_voice_pt_25183529.mp3,5.04,4.17,0.827,0.1667,0.0508,seja dono da sua boca para não ser escravo de suas palavras,seja o dono da sua boca para não ser escravos de suas palavras
groq,common_voice_pt_25183530.mp3,2.48,4.02,1.617,0.0000,0.0000,antônio josé de almeida,antônio josé de almeida
groq,common_voice_pt_25183533.mp3,2.81,4.00,1.426,0.0000,0.0000,tente você mesmo primeiro,tente você mesmo primeiro
groq,common_voice_pt_25183521.mp3,5.15,4.05,0.786,0.6667,0.1707,nicoli franciane lorrane thamires e kaíke,nicole franciane lohane tamires e kaique
groq,common_voice_pt_25183532.mp3,2.84,4.35,1.530,0.0000,0.0000,passou este passe,passou este passe
groq,common_voice_pt_28306613.mp3,3.35,3.94,1.176,0.0000,0.0000,ele precisava de 1 bebida,ele precisava de 1 bebida
groq,common_voice_pt_28306610.mp3,5.80,4.64,0.801,0.0000,0.0000,todos os órgãos estão expostos em nossa sala de exposições,todos os órgãos estão expostos em nossa sala de exposições
groq,common_voice_pt_28306611.mp3,4.79,4.83,1.009,0.0000,0.0000,gosto de estudar física ao invés de história,gosto de estudar física ao invés de história
groq,common_voice_pt_28306590.mp3,5.04,4.09,0.811,0.0000,0.0000,isso é verdade tanto nas cartas quanto na política,isso é verdade tanto nas cartas quanto na política
groq,common_voice_pt_28306604.mp3,3.53,4.01,1.138,0.2000,0.0400,acabou sendo 1 chá amargo,acabou sendo 1 chá margo
groq,common_voice_pt_28306603.mp3,5.51,4.08,0.741,0.0000,0.0000,reserveme 1 reserva no quênia para 1 festa de 6,reserveme 1 reserva no quênia para 1 festa de 6
groq,common_voice_pt_28306602.mp3,4.90,4.28,0.874,0.3333,0.1143,sarah natan alessandro átila e john,sarah nathan alessandro atma e john
groq,common_voice_pt_28306600.mp3,6.41,4.17,0.651,0.2500,0.0333,carlos roberto bertoni sanches,carlos roberto bertone sanches
groq,common_voice_pt_28306592.mp3,2.63,4.09,1.557,0.0000,0.0000,escolha do 0,escolha do 0
groq,common_voice_pt_25198664.mp3,4.00,4.39,1.098,0.0000,0.0000,internet banda larga,internet banda larga
groq,common_voice_pt_25198663.mp3,4.72,5.03,1.067,0.2500,0.0357,adalgisa apolinario da silva,adalgisa apolinário da silva
groq,common_voice_pt_25198645.mp3,3.17,4.03,1.273,0.0000,0.0000,abra a janela,abra a janela
groq,common_voice_pt_25198646.mp3,4.36,4.07,0.935,0.2500,0.0435,celino calixto de souza,celino calisto de souza
groq,common_voice_pt_25198693.mp3,4.50,3.92,0.871,0.0000,0.0000,o edital foi lançado no último mês,o edital foi lançado no último mês
groq,common_voice_pt_25198692.mp3,3.28,3.99,1.217,0.0000,0.0000,o que ele diz,o que ele diz
groq,common_voice_pt_25198647.mp3,5.44,4.02,0.740,0.0000,0.0000,coloque 1 adesivo de tatuagem de primavera no braço,coloque 1 adesivo de tatuagem de primavera no braço
groq,common_voice_pt_25198648.mp3,3.82,4.01,1.051,0.0000,0.0000,também explodiu em lágrimas,também explodiu em lágrimas
groq,common_voice_pt_25198660.mp3,5.26,4.40,0.837,0.0000,0.0000,sabedoria é conhecimento usado para o bem,sabedoria é conhecimento usado para o bem
groq,common_voice_pt_25198661.mp3,5.58,4.84,0.868,0.0000,0.0000,crianças na escola tirando 1 foto com seu professor,crianças na escola tirando 1 foto com seu professor
groq,common_voice_pt_25198662.mp3,4.00,4.35,1.089,0.0000,0.0000,esse trabalho ainda está aberto,esse trabalho ainda está aberto
groq,common_voice_pt_28944458.mp3,3.82,4.87,1.276,0.0000,0.0000,4 horas da manhã e nenhum sinal dele,4 horas da manhã e nenhum sinal dele
groq,common_voice_pt_28944346.mp3,2.92,4.34,1.489,0.3333,0.0667,salto do lontra,salto do alontra
groq,common_voice_pt_28944428.mp3,4.79,4.01,0.837,0.1111,0.0227,use a wifi do aerorporto ou de qualquer café,use a wifi do aeroporto ou de qualquer café
groq,common_voice_pt_28944416.mp3,4.61,4.13,0.896,0.0000,0.0000,se marido e mulher falam com os pais a dança é ruim,se marido e mulher falam com os pais a dança é ruim
groq,common_voice_pt_28944349.mp3,2.45,3.92,1.601,0.6667,0.2857,bento de abreu,dentro de abril
groq,common_voice_pt_28944347.mp3,3.64,4.07,1.119,0.1667,0.1250,oh o que você me entende,o que você me entende
groq,common_voice_pt_28944468.mp3,5.62,5.65,1.005,0.1667,0.0656,nenhum de nós tinha a geórgia se encaixando mas eu não pensei,nem de nós tinha a georgia se encaixando mas eu não pensei
groq,common_voice_pt_28944343.mp3,3.42,5.00,1.461,0.0000,0.0000,e assim eles foram embora,e assim eles foram embora
groq,common_voice_pt_28944462.mp3,3.89,3.93,1.011,0.0000,0.0000,a floresta é o banco de poupança de 1 fazendeiro,a floresta é o banco de poupança de 1 fazendeiro
groq,common_voice_pt_28944464.mp3,2.74,3.92,1.432,0.3333,0.0714,salto do jacuí,solto do jacuí
groq,common_voice_pt_39865333.mp3,3.49,3.96,1.134,0.0000,0.0000,quero 1 misto quente,quero 1 misto quente
groq,common_voice_pt_39865330.mp3,7.20,4.26,0.592,0.5000,0.1167,mísseis balísticos hipersônicos da artilharia autopropulsada,mísseis balístíkos hypersónikos da artílharía autopropulsada
groq,common_voice_pt_39906810.mp3,4.68,4.15,0.887,0.0000,0.0000,tu e a nicole andam feitos 1 com o outro,tu e a nicole andam feitos 1 com o outro
groq,common_voice_pt_39906809.mp3,3.46,3.99,1.156,0.0000,0.0000,minha vida é 1 lambada,minha vida é 1 lambada
groq,common_voice_pt_39906776.mp3,4.00,3.91,0.980,2.3333,0.7727,odeio este restaurante,og þeir veist í hist á reldi
groq,common_voice_pt_39906676.mp3,3.71,4.30,1.158,0.0000,0.0000,anuncie nas redes sociais,anuncie nas redes sociais
groq,common_voice_pt_39906675.mp3,4.18,5.38,1.288,0.8000,0.4737,vou dar 1 laço nele,vóða er 1 lasu neði
groq,common_voice_pt_39906672.mp3,4.14,4.17,1.007,0.1429,0.0667,ela me pagou tudo que me devia,ela me pagou tudo o que me devia
groq,common_voice_pt_39906642.mp3,5.87,4.05,0.690,0.0000,0.0000,condensadores em paralelo aumentam a capacitância total,condensadores em paralelo aumentam a capacitância total
groq,common_voice_pt_39906640.mp3,5.15,4.10,0.796,0.0000,0.0000,meus braços estão doendo preciso ir ao médico,meus braços estão doendo preciso ir ao médico
groq,common_voice_pt_39865403.mp3,4.03,4.65,1.154,0.0000,0.0000,meu filho vai tomar banho amanhã,meu filho vai tomar banho amanhã
groq,common_voice_pt_39865401.mp3,5.76,4.20,0.729,0.0000,0.0000,utilizamos version control para gerenciar mudanças no código,utilizamos version control para gerenciar mudanças no código
groq,common_voice_pt_35909534.mp3,3.82,4.07,1.066,0.0000,0.0000,feliz aniversário para a garota de sorte de nós,feliz aniversário para a garota de sorte de nós
groq,common_voice_pt_35909543.mp3,2.16,4.12,1.909,0.0000,0.0000,conceição da feira,conceição da feira
groq,common_voice_pt_35909603.mp3,4.68,3.51,0.749,0.1111,0.0161,rever desde o início estas teorias ou rechaçálas completamente,rever desde o início essas teorias ou rechaçálas completamente
groq,common_voice_pt_35909420.mp3,2.30,3.86,1.675,0.0000,0.0000,rolando morro abaixo,rolando morro abaixo
groq,common_voice_pt_35909530.mp3,3.56,4.10,1.151,0.0000,0.0000,tem chifres de pedra em ambos os lados,tem chifres de pedra em ambos os lados
groq,common_voice_pt_35909411.mp3,5.11,4.43,0.867,0.0000,0.0000,o melhoramento o apoio e o restabelecimento de sua economia,o melhoramento o apoio e o restabelecimento de sua economia
groq,common_voice_pt_35909389.mp3,6.37,4.03,0.633,0.0000,0.0000,a pessoa jurídica estrangeira que nele tiver agência filial ou sucursal,a pessoa jurídica estrangeira que nele tiver agência filial ou sucursal
groq,common_voice_pt_35909576.mp3,4.68,4.17,0.892,0.0000,0.0000,respeitadas disposições específicas constantes de tratado,respeitadas disposições específicas constantes de tratado
groq,common_voice_pt_27024227.mp3,2.74,3.85,1.409,0.0000,0.0000,ela está molhada,ela está molhada
groq,common_voice_pt_27024355.mp3,5.33,4.13,0.775,0.0000,0.0000,participar de reuniões do ministério da indústria turismo e comércio,participar de reuniões do ministério da indústria turismo e comércio
groq,common_voice_pt_27024223.mp3,7.49,6.46,0.862,0.0000,0.0000,a incorporação do inglês com a metodologia apropriada será precoce e progressiva,a incorporação do inglês com a metodologia apropriada será precoce e progressiva
groq,common_voice_pt_27024225.mp3,2.92,1.90,0.652,0.6667,0.1111,apressado come cru,apressado como e cru
groq,common_voice_pt_27024229.mp3,4.32,3.95,0.915,0.0000,0.0000,para sua tristeza a indignação aconteceu,para sua tristeza a indignação aconteceu
groq,common_voice_pt_27024272.mp3,2.74,3.99,1.457,0.0000,0.0000,a pequena é 1 desmiolada,a pequena é 1 desmiolada
groq,common_voice_pt_27024273.mp3,3.24,4.52,1.395,0.0000,0.0000,eles são delicados dizem eles,eles são delicados dizem eles
groq,common_voice_pt_27024279.mp3,3.64,3.91,1.074,0.0000,0.0000,no inverno o melhor amigo é 1 bom casaco,no inverno o melhor amigo é 1 bom casaco
groq,common_voice_pt_27024354.mp3,3.42,4.09,1.195,0.0000,0.0000,fevereiro floresce a flor de amendoeira,fevereiro floresce a flor de amendoeira
groq,common_voice_pt_27024350.mp3,2.56,3.90,1.524,0.0000,0.0000,isso é o que ele diz,isso é o que ele diz
groq,common_voice_pt_31134372.mp3,3.02,4.66,1.542,0.0000,0.0000,gasolina e diesel,gasolina e diesel
groq,common_voice_pt_31134306.mp3,5.04,5.08,1.008,0.0000,0.0000,floração de flores mais cedo do que seres humanos,floração de flores mais cedo do que seres humanos
groq,common_voice_pt_31134279.mp3,3.53,6.31,1.790,0.0000,0.0000,a ganância comeu o bolo inteiro,a ganância comeu o bolo inteiro
groq,common_voice_pt_31134278.mp3,4.86,0.83,0.171,0.1429,0.0556,para o ferreiro não vá vender baldes,para o ferreiro não vai vender baldes
groq,common_voice_pt_32941951.mp3,5.11,4.13,0.809,0.0000,0.0000,colocou em pauta novamente a questão do aborto,colocou em pauta novamente a questão do aborto
groq,common_voice_pt_32941940.mp3,3.35,3.99,1.192,0.0000,0.0000,usar a inteligência para o bem,usar a inteligência para o bem
groq,common_voice_pt_32941950.mp3,6.66,4.70,0.706,0.0000,0.0000,o país valenciano no entanto não desfruta precisamente dessas características virgens,o país valenciano no entanto não desfruta precisamente dessas características virgens
groq,common_voice_pt_32941941.mp3,5.22,4.44,0.850,0.0000,0.0000,o novo colaborador já se implicou em fofocas e confusões,o novo colaborador já se implicou em fofocas e confusões
groq,common_voice_pt_32941942.mp3,4.39,4.04,0.920,1.0000,0.3226,cumprindo obrigações na calunga,compringó obligación a carlunga
groq,common_voice_pt_32941944.mp3,2.84,4.26,1.498,0.0000,0.0000,as meias estão rasgadas,as meias estão rasgadas
groq,common_voice_pt_32941949.mp3,3.46,5.16,1.493,0.0000,0.0000,como decorar seu lar para a primavera,como decorar seu lar para a primavera
groq,common_voice_pt_32941946.mp3,4.79,4.98,1.041,0.1250,0.0213,o problema está em eles desobedecerem às ordens,o problema está em eles desobedecerem as ordens
groq,common_voice_pt_32941952.mp3,4.61,3.99,0.866,0.0000,0.0000,foi atrás da população desbancarizada,foi atrás da população desbancarizada
groq,common_voice_pt_20464933.mp3,6.10,4.42,0.725,0.1250,0.0750,1 menina com 1 moicano azul está andando,1 menina com 1 recano azul está andando
groq,common_voice_pt_20464932.mp3,3.38,4.06,1.201,0.0000,0.0000,meu calendário está cheio,meu calendário está cheio
groq,common_voice_pt_20464934.mp3,5.78,4.11,0.711,0.0000,0.0000,tocar música de dispositivos a partir dos anos 40,tocar música de dispositivos a partir dos anos 40
groq,common_voice_pt_20464852.mp3,4.94,4.13,0.835,0.0000,0.0000,após o período de licença maternidade,após o período de licença maternidade
groq,common_voice_pt_20464853.mp3,5.14,3.97,0.773,0.0000,0.0000,qual é o preço do dólar no momento,qual é o preço do dólar no momento
groq,common_voice_pt_20464854.mp3,6.38,4.31,0.674,0.0000,0.0000,2 ciclistas em amarelo estão competindo em 1 corrida,2 ciclistas em amarelo estão competindo em 1 corrida
groq,common_voice_pt_20464857.mp3,5.78,5.22,0.903,0.0000,0.0000,1 homem de calça preta subindo em 1 parede de pedra,1 homem de calça preta subindo em 1 parede de pedra
groq,common_voice_pt_20464859.mp3,5.54,4.06,0.732,0.0000,0.0000,estudos clínicos da nova vacina ainda são excelentes,estudos clínicos da nova vacina ainda são excelentes
groq,common_voice_pt_20464860.mp3,3.46,4.03,1.166,1.3333,1.0769,como vai você,кома вайвы с ним
groq,common_voice_pt_20464935.mp3,5.06,4.21,0.832,0.0000,0.0000,você quer dizer que o discurso que você está escrevendo,você quer dizer que o discurso que você está escrevendo
groq,common_voice_pt_20464936.mp3,5.06,4.27,0.842,0.0000,0.0000,todo mundo quieto e pronto para 1 emergência,todo mundo quieto e pronto para 1 emergência
groq,common_voice_pt_19401757.mp3,5.90,4.06,0.687,0.1667,0.0484,no dia seguinte o menino voltou ao poço esperando ver a menina,no dia seguinte o menino voltou ao poço esperando virar menina
groq,common_voice_pt_19401752.mp3,4.22,4.03,0.953,0.0000,0.0000,1 grupo de crianças está competindo em 1 revezamento,1 grupo de crianças está competindo em 1 revezamento
groq,common_voice_pt_19401756.mp3,2.74,3.93,1.437,0.0000,0.0000,verifique os sinais vitais,verifique os sinais vitais
groq,common_voice_pt_19401743.mp3,6.14,3.91,0.636,0.0000,0.0000,o uso ilegal de software é 1 crime,o uso ilegal de software é 1 crime
groq,common_voice_pt_19401745.mp3,3.34,4.32,1.294,1.0000,0.4737,você orou ao senhor,vosi oró og syngur
groq,common_voice_pt_19401747.mp3,3.14,5.06,1.611,0.0000,0.0000,use 1 capacete de vídeo,use 1 capacete de vídeo
groq,common_voice_pt_19401748.mp3,3.98,3.92,0.985,0.0000,0.0000,você sabe que tipo de pacote foi,você sabe que tipo de pacote foi
groq,common_voice_pt_19401750.mp3,4.30,3.90,0.907,0.0000,0.0000,pedro abraçou seu ursinho o mais forte que pôde,pedro abraçou seu ursinho o mais forte que pôde
groq,common_voice_pt_19401751.mp3,3.22,4.24,1.318,0.0000,0.0000,você acha que você fez,você acha que você fez
groq,common_voice_pt_19401755.mp3,3.82,3.88,1.015,0.0000,0.0000,aposto que é 1 mandado para minha prisão,aposto que é 1 mandado para minha prisão
groq,common_voice_pt_19401753.mp3,2.98,4.19,1.408,0.0000,0.0000,aqui é meu filho,aqui é meu filho
groq,common_voice_pt_36376507.mp3,7.02,4.10,0.585,0.0000,0.0000,1 homem é como 1 cadeado para cada 1 a chave deve ser selecionada,1 homem é como 1 cadeado para cada 1 a chave deve ser selecionada
groq,common_voice_pt_36376501.mp3,4.25,3.99,0.940,0.0000,0.0000,a sociedade é 1 ferramenta de fraude,a sociedade é 1 ferramenta de fraude
groq,common_voice_pt_36376503.mp3,6.30,4.94,0.784,0.0000,0.0000,liquida a indústria nacional impede o progresso do país,liquida a indústria nacional impede o progresso do país
groq,common_voice_pt_36376494.mp3,6.30,4.12,0.654,0.0000,0.0000,o homem acredita firmemente porque ele adota 1 crença sem aprofundamento,o homem acredita firmemente porque ele adota 1 crença sem aprofundamento
groq,common_voice_pt_36376495.mp3,5.69,4.07,0.716,0.0000,0.0000,1 homem com cabelo comprido sendo parado por seguranças,1 homem com cabelo comprido sendo parado por seguranças
groq,common_voice_pt_36376500.mp3,5.69,4.12,0.724,0.0000,0.0000,caso você não corrija a deficiência ela será excluída,caso você não corrija a deficiência ela será excluída
groq,common_voice_pt_36376502.mp3,6.12,4.55,0.744,0.0000,0.0000,1 pessoa está sentada em 1 borda de 1 rio em 1 cidade,1 pessoa está sentada em 1 borda de 1 rio em 1 cidade
groq,common_voice_pt_36376505.mp3,4.36,4.05,0.929,0.0000,0.0000,continue tirando fotos e brincando com a neve,continue tirando fotos e brincando com a neve
groq,common_voice_pt_36376504.mp3,6.12,4.11,0.671,0.0000,0.0000,eu queria rever o plano estratégico esta tarde mas ainda não consegui dizer,eu queria rever o plano estratégico esta tarde mas ainda não consegui dizer
groq,common_voice_pt_36376498.mp3,3.53,3.92,1.111,0.0000,0.0000,oi como assim,oi como assim
groq,common_voice_pt_36461399.mp3,5.69,3.96,0.696,0.0000,0.0000,é engraçado eles não entendem nada mas não param de falar,é engraçado eles não entendem nada mas não param de falar
groq,common_voice_pt_36461382.mp3,5.58,4.33,0.776,0.0000,0.0000,tudo deve ser feito antes que você possa fazer isso,tudo deve ser feito antes que você possa fazer isso
groq,common_voice_pt_36461368.mp3,6.41,3.72,0.580,0.0000,0.0000,eu vi algumas espigas de trigo particularmente grandes e esplêndidas,eu vi algumas espigas de trigo particularmente grandes e esplêndidas
groq,common_voice_pt_36461381.mp3,3.53,3.92,1.110,0.0000,0.0000,eu prefiro futebol,eu prefiro futebol
groq,common_voice_pt_36461367.mp3,4.25,3.93,0.925,0.0000,0.0000,isso me coloca em 1 buraco peculiar,isso me coloca em 1 buraco peculiar
groq,common_voice_pt_36461366.mp3,5.40,3.98,0.736,0.1250,0.0417,o fucarão atingiu a costa noroeste ao entardecer,o furacão atingiu a costa noroeste ao entardecer
groq,common_voice_pt_36461365.mp3,4.86,4.13,0.850,0.0000,0.0000,precisamos de muita coragem para chegar ao fim,precisamos de muita coragem para chegar ao fim
groq,common_voice_pt_36461364.mp3,4.61,3.85,0.836,0.0000,0.0000,não se podem quebrar com nomeações,não se podem quebrar com nomeações
groq,common_voice_pt_36461401.mp3,2.92,3.79,1.301,0.0000,0.0000,13 de maio,13 de maio
groq,common_voice_pt_36466540.mp3,5.62,4.08,0.727,0.0000,0.0000,por que você está tão ansioso para chegar ao fim,por que você está tão ansioso para chegar ao fim
groq,common_voice_pt_36466562.mp3,4.90,5.11,1.044,0.0000,0.0000,em palavras trabalho suave e duro,em palavras trabalho suave e duro
groq,common_voice_pt_36466558.mp3,4.50,5.20,1.155,0.1429,0.0286,ela começa a dançar com 1 casamento,ela começa a dançar com o casamento
groq,common_voice_pt_36466542.mp3,6.59,2.92,0.443,0.0000,0.0000,entre todos os santos e a natividade entra no inverno da verdade,entre todos os santos e a natividade entra no inverno da verdade
groq,common_voice_pt_36466541.mp3,3.46,4.14,1.197,0.0000,0.0000,ela está com muito frio,ela está com muito frio
