meeting,persona,story,independente,negociavel,valiosa,estimavel,pequena,testavel,conformant,justification
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Contratações,"Como Gestor de Contratações, eu quero que o sistema valide se o saldo orçamentário é suficiente para o conjunto de hipóteses na contratação antes de permitir alterações para evitar extrapolações",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve claramente a necessidade de validação orçamentária antes de alterações, sem impor solução técnica, com valor direto ao gestor e critério de aceitação verificável (sistema bloqueia alteração quando saldo é insuficiente)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Contratações,"Como Gestor de Contratações, eu quero consultar o saldo orçamentário disponível para a contratação por ação, grupo e fonte para validar se há recursos suficientes para o agrupamento",True,True,True,True,True,True,True,"História bem delimitada e centrada no usuário: consultar saldo orçamentário por ação, grupo e fonte é um objetivo coeso, verificável (o sistema exibe os saldos corretos e o gestor consegue validar a suficiência de recursos) e com esforço estimável."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Programação Orçamentária (LOA),"Como Gestor de Programação Orçamentária, eu quero manter saldos orçamentários alocados por ação, grupo de despesa e fonte de recurso para estabelecer os limites que os órgãos devem respeitar",True,True,True,True,False,True,False,"A história agrega múltiplos objetivos distintos (manter saldos por ação, por grupo de despesa e por fonte de recurso), que poderiam ser histórias separadas, tornando-a ampla demais para uma única unidade coesa."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Programação Orçamentária (LOA),"Como Gestor de Programação Orçamentária, eu quero gerar automaticamente saldos a partir das dotações orçamentárias do exercício corrente para criar a base de limites de forma eficiente",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve claramente a necessidade de geração automática de saldos a partir de dotações, com valor evidente para o gestor e critério verificável (saldos gerados corretamente a partir das dotações do exercício corrente)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Programação Orçamentária (LOA),"Como Gestor de Programação Orçamentária, eu quero editar saldos manualmente para aplicar percentuais de correção ou contingenciamento quando necessário",True,True,True,True,True,True,True,"História bem delimitada, com ator, objetivo e contexto claros, permitindo estimativa e verificação de que saldos podem ser editados manualmente com aplicação de percentuais de correção ou contingenciamento."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Programação Orçamentária (LOA),"Como Gestor de Programação Orçamentária, eu quero visualizar quais hipóteses estão consumindo cada saldo para monitorar a execução e identificar desbalanceamentos",True,True,True,True,True,True,True,"História bem formada: foca em um único objetivo de visualização/monitoramento, deixa aberta a forma de implementação e é verificável pela capacidade de identificar hipóteses associadas a cada saldo e detectar desbalanceamentos."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Consultor/Analista de Saldo Orçamentário,"Como Consultor de Saldo Orçamentário, eu quero consultar saldos orçamentários por exercício, unidade, ação, grupo de despesa e fonte de recurso para obter visibilidade sobre a situação de recursos",True,True,True,True,True,True,True,"História bem formada: descreve claramente a necessidade de consulta com filtros específicos (exercício, unidade, ação, grupo de despesa e fonte de recurso), entrega valor direto ao consultor e é verificável pela presença e funcionamento correto desses filtros na consulta de saldos."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Consultor/Analista de Saldo Orçamentário,"Como Consultor de Saldo Orçamentário, eu quero visualizar o saldo alocado, o saldo utilizado e o saldo disponível para cada combinação de dimensões para tomar decisões informadas",True,True,True,True,True,True,True,"História coesa e bem delimitada: um ator específico quer visualizar três saldos por combinação de dimensões, o que é verificável, estimável e deixa espaço para negociar a forma de apresentação."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Consultor/Analista de Saldo Orçamentário,"Como Consultor de Saldo Orçamentário, eu quero expandir um saldo para ver quais hipóteses específicas estão consumindo esse saldo para rastrear o consumo até o nível de detalhe",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve claramente a necessidade de drill-down de saldo por hipóteses, com valor evidente para o consultor e critério de aceitação verificável (expandir um saldo e visualizar as hipóteses que o consomem)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Consultor/Analista de Saldo Orçamentário,"Como Consultor de Saldo Orçamentário, eu quero que o saldo utilizado seja calculado automaticamente como o somatório das hipóteses que consomem cada saldo para garantir precisão",True,False,True,True,True,True,False,"A história é bem focada e testável, mas impõe uma solução técnica específica (somatório das hipóteses) em vez de descrever apenas a necessidade de precisão no cálculo do saldo, comprometendo a negociabilidade."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Administrador/Gestor de Sistema,"Como Administrador de Sistema, eu quero configurar regras de validação de saldo orçamentário para controlar o comportamento de validação em todas as operações",True,True,True,True,False,True,False,"A história agrega múltiplos objetivos distintos — configurar regras E controlar o comportamento em TODAS as operações —, sugerindo um conjunto amplo de funcionalidades que deveriam ser decompostas em histórias menores e mais focadas."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Administrador/Gestor de Sistema,"Como Administrador de Sistema, eu quero definir se o sistema deve criar saldo mesmo quando não existe dotação equivalente para flexibilizar a criação de saldos conforme necessário",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve uma configuração administrativa com intenção clara, valor verificável (sistema cria ou não saldo sem dotação conforme a configuração definida) e sem impor solução técnica."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Administrador/Gestor de Sistema,"Como Administrador de Sistema, eu quero que alterações em uma regra de validação de saldo sejam refletidas automaticamente em todos os pontos onde a regra é utilizada para garantir consistência",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve a necessidade de propagação automática de mudanças em regras de validação de saldo, com valor claro para o administrador e critério verificável (alterar a regra e confirmar que todos os pontos refletem a mudança)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Administrador/Gestor de Sistema,"Como Administrador de Sistema, eu quero monitorar e validar que as regras de validação de saldo sejam aplicadas consistentemente em todos os pontos do fluxo (envio, homologação, autorização, alteração, contratações) para garantir integridade",True,True,True,False,False,True,False,"A história abrange múltiplos pontos de fluxo distintos (envio, homologação, autorização, alteração, contratações) que poderiam ser histórias separadas, e o escopo amplo torna difícil qualquer estimativa razoável de esforço."
